OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster,Ndist
9385,B2094757D76DA2F8479D,赖皮鱼冷火锅,长安区裕华东路434号,114.54582,38.03624,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9386,B2094757D465A7F84692,小白烧烤涮园,长安区跃进路(近东二环),114.55603,38.0497,311,烧烤,0,0,餐饮,中式餐饮,0,0.0
9387,B2094757D465A7F8479F,渝乡人家,裕华西路15号万象天成5楼(中华南大街口),114.48158,38.03577,311,四川菜,0,0,餐饮,中式餐饮,0,0.0
9388,B2094757D465A7F8489A,蓝桥自助餐厅,桥西区裕华西路40号燕山大酒店1楼,114.48182,38.03511,311,自助,0,0,餐饮,小吃快餐,0,0.0
9389,B2094757D465A7F84898,合源自助烤吧,桥西区谈固西街(槐中路口),114.55815,38.03639,311,自助,0,0,餐饮,小吃快餐,0,0.0
9390,B2094757D465A7F8499B,北京汉丽轩烤肉超市 丰收路店,长安区丰收路(建设大街口东侧路北),114.5337686,38.0709021,311,烧烤,0,0,餐饮,中式餐饮,0,0.0
9391,B2094757D56CA2FC469F,金凤美食,新华区北二环西路33号(近中华大街),114.48744,38.08377,311,快餐厅,0,0,餐饮,小吃快餐,0,549.1585735975434
9392,B2094757D76DA2FA4492,大碗厨,长安区谈北路与广安大街交叉口西行100米路南,114.52238,38.05081,311,东北菜,0,0,餐饮,中式餐饮,0,0.0
9393,B2094757D76DA2FA489D,新派川菜草原肥羔羊,长安区丰收路1号,114.53376,38.0709,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9394,B2094757D76DA2FA499A,元之岛火锅自助 中山东路店,长安区中山东路与西大街交叉口东行千品府内(近省博物馆),114.54923,38.04341,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9395,B2094757D76DA2FB4093,和平美食苑,长安区中山东路与交叉口白佛客运站西200米,114.54923,38.04347,311,河北菜,1,0,餐饮,中式餐饮,0,0.0
9396,B2094757D76DA2FB419B,红满堂,长安区丰收路与沿西街交叉口西行2米路南,114.51662,38.07239,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9397,B2094757D76DA2FB4193,老鹰,长安区跃进路与体育北大街交叉口东行50米路北(近华药俱乐部),114.55603,38.0497,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9398,B2094757D76DAAFB419D,老张许家私房菜,长安区裕华东路与谈固南大街交叉口北行200米街东(近12路谈固大街车站),114.54565,38.03615,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9399,B2094757D76DAAFB4593,沿丰饭店,长安区丰收路与沿西街交叉口北行10米街东,114.53502,38.07077,311,河北菜,0,0,餐饮,中式餐饮,0,82.47786345805409
9400,B2094757D76DAAFB4699,燕春饭店速8酒店中餐厅,长安区中山东路与建设北大街交叉口西北角(近北国商城),114.54923,38.04341,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9401,B2094757D76DAAFB499D,五羊皇冠西点 棉一店,长安区和平东路与建设北大街交叉口东行100米路南(近4路棉一站),114.55359,38.05437,311,甜品店,0,0,餐饮,甜点饮品,0,0.0
9402,B2094757D76EABF94993,香乐园酱骨子城,新华区联盟路与红星街交叉口西行100米路南,114.47401,38.07897,311,东北菜,0,0,餐饮,中式餐饮,0,0.0
9403,B2094757D76EABFA449D,东兴涮肚,新华区和平西路与西三庄街交叉口北300米(近心理医院),114.46615,38.05953,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9404,B2094757D76EABFA479E,蓬莱阁,新华区北二环西路与文苑街交叉口南行250米街西(近四十二中),114.47612,38.08449,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9405,B2094757D76EABFA489D,丰泽园,新华区新华路与泰华街交叉口北行100米街东(近新华区政府),114.46938,38.04785,311,河北菜,0,0,餐饮,中式餐饮,0,0.0
9406,B2094757D56FA7FC459F,大槐树面食村,中国河北省栾城县,114.55551053,38.01286675,311,中餐厅,5,0,餐饮,中式餐饮,0,10.53100628506337
9407,B2094757D76CABF4419E,小嘴煲煲店 槐中路店,裕华区槐中路与谈固南大街交叉口东(近金马小区),114.53691,38.02872,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9408,B2094757D76CABF44299,坝上香驴城,长安区和平东路306路(青园街路口),114.51766,38.05333,311,河北菜,0,0,餐饮,中式餐饮,0,12.308595661244174
9409,B2094757D76EABFB459C,田园烧烤石锅,新华区新华路与泰华街交叉口南行30米街西(近烈士陵园),114.46938,38.04785,311,烧烤,0,0,餐饮,中式餐饮,0,0.0
9410,B2094757D76EABFB489C,德秀斋,桥东区兴凯路与清真寺街交叉口南行50米街东,114.47731,38.05077,311,清真餐馆,0,0,餐饮,中式餐饮,0,0.0
9411,B2094757D76EABFB499B,回味斋 兴凯路店,桥东区兴凯路与清真寺街交叉口南行200米(近30路车站),114.47731,38.05077,311,清真餐馆,0,0,餐饮,中式餐饮,0,0.0
9412,B2094757D76FA2FB409F,麻辣诱惑,裕华区裕华东路与天山大街交叉口北行50米街西(近天山海世界),114.54565,38.03615,311,四川菜,3,3,餐饮,中式餐饮,0,0.0
9413,B2094757D76FA2FB449C,关东人家,裕华区槐中路国际城商街576-4号(近金马小区),114.53691,38.02872,311,东北菜,0,0,餐饮,中式餐饮,0,0.0
9414,B2094757D76FAAFC4593,好利来 青园街店,槐中路与青园街交叉口西北角(近亚太大酒店),114.53691,38.02872,311,糕饼店,2,2,餐饮,甜点饮品,0,0.0
9415,B2094757D76FAAFD4092,百盛源酒楼,长安区槐安东路与煤机街交叉口北行100米街西,114.54154,38.0224,311,湖南菜,0,0,餐饮,中式餐饮,0,0.0
9416,B2094757D768A1F4429C,粥翁粥婆,长安区裕华路与体育大街交叉口向东200米(长安区政府对面),114.57041,38.14435,311,快餐厅,0,0,餐饮,小吃快餐,0,0.0
9417,B2094757D768A1F5419B,火凤凰火锅,桥东区东风路与平安南大街交叉口向西300米路北,114.50698,38.02471,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9418,B2094757D768A0FC4899,成都饭店,裕华区槐中路与翟营大街交叉口北侧,114.53691,38.02872,311,四川菜,0,0,餐饮,中式餐饮,0,0.0
9419,B2094757D768A0FD479D,老江湖火锅城,裕华区四中路与建设南大街交口向西200米路南,114.50715,38.03828,311,火锅店,0,0,餐饮,中式餐饮,0,0.0
9420,B2094757D76DAAF4449A,蓬莱饭店,长安区和平东路与谈固北大街交叉口东行200米路南(近钢厂南门),114.55359,38.05437,311,清真餐馆,0,0,餐饮,中式餐饮,0,0.0
