poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
B2094656D36AAAF5409F,正宗武汉鸭脖王,,114.51184,38.02787,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3FF4192,魏记香辣免排,,114.51204,38.05239,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3FF4193,家常饺子,建设北大街135,114.51204,38.05236,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FF459E,保定水云间,,114.51676,38.05036,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FF469B,冷热饮休闲茶吧水果坊连锁店,,114.51605,38.05054,0311,休闲餐饮场所,0,0,餐饮,其它,0
B2094656D36BA3FF4692,吉祥水饺健康路店,,114.51564,38.05052,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FF479B,厚德居火锅店,,114.51528,38.05051,0311,火锅店,0,0,餐饮,中式餐饮,0
B2094656D36BA3FF4793,巴适得很,,114.51407,38.05049,0311,火锅店,0,0,餐饮,中式餐饮,0
B2094656D36BA3F84493,五羊蛋糕(和平东路),,114.51416,38.05355,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA3F8499C,文化沙龙,,114.51746,38.04462,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36BA3F9409E,都市美食窗,,114.51741,38.04639,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3F94899,嘉宏茶饮休闲,,114.51854,38.05082,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36BA3F9489F,麦好乐炸鸡(谈北路),,114.51849,38.05082,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3F9489D,王家驴肉,,114.51845,38.05081,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FA4293,麦稻佳饭庄,,114.51969,38.04792,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FA439A,金利园蛋糕世界,,114.51969,38.04799,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA3F94498,新疆大盘鸡正宗牛肉拉面,,114.51722,38.05252,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3F94598,底家饭店(和平东路),,114.51752,38.05332,0311,清真餐馆,0,0,餐饮,中式餐饮,0
B2094656D36BA3F9459C,金海园,,114.5185,38.05334,0311,综合酒楼,0,0,餐饮,中式餐饮,0
B2094656D36BA3FA479A,翰茗阁,,114.52061,38.05336,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36BA3FA4899,渝新干锅辣鸭头石家庄广安分店,,114.52198,38.05256,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FA499A,永昌会馆,,114.52201,38.0516,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FB439B,九九鸭鸭脖王,,114.52079,38.05068,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3FB4398,石锅酱八伴,,114.52088,38.05067,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3FB469C,品茶阁,,114.52091,38.04767,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36BA3FB4799,家友馒头专卖店,,114.5201,38.04763,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3FB479D,老店香酥童子鸡,,114.51972,38.04762,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3F5409C,休闲茶社(广安大街),,114.52316,38.04914,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36BA3F54198,大个小吃,,114.52314,38.04939,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36BA3F5419E,正宗兰州牛肉拉面(广安大街),,114.52315,38.04949,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3F5429B,赵六坛菜馆,,114.52313,38.04964,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3F5429F,永发东北独一处菜馆,,114.52313,38.04985,0311,东北菜,0,0,餐饮,中式餐饮,0
B2094656D36BA3F54593,香酥童子鸡老店,,114.52739,38.05049,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3F4469E,上海滩大饭店,广安大街7号,114.52289,38.04405,0311,综合酒楼,1,0,餐饮,中式餐饮,0
B2094656D36BA3F44892,韩记保定驴肉火烧,,114.52317,38.04811,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA2F9469A,山西小吃(光华路),,114.51674,38.05853,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36BA2F9469E,渝兴干锅辣鸭头光华路店,,114.51596,38.05855,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA2F9469C,莉捷小炒菜馆,,114.51561,38.05852,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA2F94692,腾飞餐厅,,114.51522,38.05852,0311,东北菜,0,0,餐饮,中式餐饮,0
B2094656D36BA2F94893,光华小吃,,114.51338,38.05845,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36BA2F9499A,川香坊,,114.51329,38.05845,0311,四川菜,0,0,餐饮,中式餐饮,0
B2094656D36BA2F94999,弘昌烧烤,光华路110,114.51277,38.05846,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA2F9499D,庄稼汉饺子馆(光华路),,114.51248,38.05843,0311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA2FA409A,驴肉火烧(光华路),,114.51213,38.05843,0311,餐饮美食,1,0,餐饮,其它,0
B2094656D36BA2FC429D,258珍珠奶茶店,,114.52813,38.04594,0311,冷饮店,0,0,餐饮,甜点饮品,0
B2094656D36BA2FC4393,B比洋汉堡石家庄总店,,114.52808,38.04799,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36BA2FD4598,北极星中式快餐,,114.52712,38.04341,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA3F5469A,正宗北京果木烤鸭店,,114.52739,38.05044,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3F54699,调味,,114.52743,38.0482,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA3F5469D,董记煎饼(育才街),,114.52742,38.04799,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA3F5479D,步步高北京西饼面包房石家庄第二分店,,114.52661,38.04781,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA3F54892,鱼鳞脆鸡(谈南路),,114.52734,38.04732,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA2FC409B,豫香道口鸡老店第二分店,,114.5273,38.04732,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA2FB4498,延吉狗肉馆棉一店,,114.5148,38.05419,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA2FB449C,常兴涮肚,,114.51508,38.0542,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA2FB459A,御茶园(和平东路),,114.51631,38.05391,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36BA2FB459C,家家福,,114.51835,38.0539,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA1FF4492,钱塘茶人,建设北大街81,114.51218,38.0618,0311,茶艺馆,0,0,餐饮,甜点饮品,0
B2094656D36BA1FF469D,米莎贝尔(建设北大街),建设北大街77-3,114.51221,38.06083,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA1F8409D,郭记水磨煎饼(光华路),,114.51482,38.05895,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA1F8419E,西北兰州正宗牛肉拉面(光华路),,114.51528,38.05897,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA1F44798,老城根,,114.53391,38.01815,0311,综合酒楼,0,0,餐饮,中式餐饮,0
B2094656D36BA1F44898,鹿茸火锅,,114.53395,38.01648,0311,火锅店,0,0,餐饮,中式餐饮,0
B2094656D36BA1F4489E,重庆香牌坊,体育南大街281,114.53388,38.02096,0311,餐饮美食,0,0,餐饮,其它,0
B2094656D36BA1F5409C,豫竹乡村水席,,114.54737,38.00902,0311,中餐厅,2,0,餐饮,中式餐饮,0
B2094656D36BA1F4419A,泸州川菜馆,,114.54257,38.01414,0311,四川菜,0,0,餐饮,中式餐饮,0
B2094656D36BA1F4419E,宜香源,,114.54261,38.01231,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA1F44299,隆福小吃店,,114.5419,38.01229,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36BA1F4429E,家庭快餐,,114.54131,38.01232,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36BA1F44293,蕊蕊佳肴,,114.54037,38.012,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA1F44392,小小吃店,,114.5408,38.01262,0311,快餐厅,0,0,餐饮,小吃快餐,0
B2094656D36BA1F44393,好麦点脆皮烤馍第18家,,114.54077,38.0128,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA1F4449E,牛肉拉面大盘鸡,,114.54077,38.01313,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA1F4449C,温州蛋糕房(东王街),,114.54033,38.01336,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA1F4459B,大亮烧烤涮,,114.54036,38.01367,0311,清真餐馆,0,0,餐饮,中式餐饮,0
B2094656D36BA1F4469A,小地主粥铺,体育南大街357,114.53394,38.01617,0311,中餐厅,0,0,餐饮,中式餐饮,0
B2094656D36BA1FB479B,嘉福西点,,114.54977,38.01549,0311,糕饼店,0,0,餐饮,甜点饮品,0
B2094656D36BA1F44092,唐记传统小吃,,114.54308,38.01471,0311,快餐厅,0,0,餐饮,小吃快餐,0
