OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,C1km,C2km,C3km
2057,B2094656D36BA6F9469B,金马小区腾达园(谈固南大街),谈固南大街224,114.56242,38.02552,311,住宅区,41,5,小区,195,915,1743
2058,B2094656D06CA3FE419E,正定国际小商品城,正定华安西路42号,114.56041,38.16142,311,住宅区,35,2,小区,40,133,235
2059,B2094656D368A7F44192,恒山西苑,,114.55938,38.14278,311,住宅区,165,35,小区,75,221,245
2060,B2094656D368A7F4419E,中银小区,正定承德街,114.55865,38.144421,311,住宅区,40,9,小区,55,229,244
2061,B2094656D365ABFD409A,柳阳佳园(东门),柳阳街18,114.51497,38.0918,311,住宅区,9,1,小区,102,270,502
2062,B2094656D36AA2FA4499,东袁小区,,114.47028,38.04984,311,住宅区,38,15,小区,346,1395,2466
2063,B2094656D364ABFD439D,清沁园(青园街),,114.51955,38.02155,311,住宅区,17,4,小区,291,1122,2701
2064,B2094656D365A4F84598,教场·庄园,,114.57281,38.17464,311,住宅区,85,31,小区,1,26,105
2065,B2094656D365ABF8409C,河北电视台生活小区,裕华东路118,114.54447,38.03474,311,住宅区,40,16,小区,389,1405,2816
2066,B2094757D56FA0F84392,金太阳公寓(南门),中国河北省正定县中山西路,114.56287191,38.14184082,311,住宅区,11,2,小区,108,218,246
2067,B2094656D365ABFE4098,都景园(东门),,114.51182,38.02871,311,住宅区,17,1,小区,314,1735,3168
2068,B2094656D365ABF8449E,清馨苑(北门),东岗路12,114.52173,38.01518,311,住宅区,17,5,小区,222,905,1886
2069,B2094656D365A4FB439C,铁三宿舍(东门),,114.49652,38.03795,311,住宅区,5,2,小区,428,1875,3293
2070,B2094656D365A4F4459A,嘉实红人公馆(北门),,114.47563,38.05484,311,住宅区,8,2,小区,381,1244,2515
2071,B2094656D365A4F5409B,石家庄车辆厂小区(北门),,114.48646,38.05441,311,住宅区,51,7,小区,262,1384,2952
2072,B2094656D365ABFD449E,东诚小区(北门),,114.49671,38.07188,311,住宅区,3,2,小区,132,612,1540
2073,B2094656D36BA2F54198,运河桥生活小区,,114.51514,38.07715,311,住宅区,3,1,小区,187,476,986
2074,B2094656D36BA7FB4692,卓达员工公寓,,114.55738,38.0056,311,住宅区,13,3,小区,102,339,896
2075,B2094656D36BAAFE439E,石市郊区谈固乡政府宿舍楼,,114.5752,38.05073,311,住宅区,17,13,小区,105,394,988
2076,B2094751D56FAAF84493,正华花园,河北省石家庄市正定县正华花园,114.562469,38.167191,311,住宅区,25,12,小区,18,93,209
2077,B2094750D26AA4FE419F,福门里小区,石家庄市正定县广惠路35号,114.580268,38.134845,311,住宅区,63,17,小区,33,132,226
2078,B2094750D66AA4F94599,正安花园,恒州南街,114.565147,38.133979,311,住宅区,28,4,小区,42,162,231
2079,B2094750D464ABFE429C,上洋花园,正定车站西街,114.561302,38.170482,311,住宅区,0,0,小区,5,57,143
2080,B2094656D364ABFF4799,东苑小区(东门),,114.55406,38.03144,311,住宅区,14,3,小区,357,1297,2131
2081,B2094656D364ABF84199,河北省博物馆宿舍,建华南大街82,114.54521,38.03756,311,住宅区,5,4,小区,392,1389,2794
2082,B2094656D368ABF8419B,金元小区,九中街49,114.48552,38.06024,311,住宅区,1,0,小区,184,1161,2678
2083,B2094750D56AA3FE4398,鼎泰中心商务,中山路和休门街交口东南角,114.506574,38.043011,311,住宅区,3,3,小区,788,2004,3274
2084,B2094656D365A5FF4592,河北省粮油所宿舍(南门),槐北路467,114.56562,38.03294,311,住宅区,1,0,小区,227,918,1704
2085,B2094656D365A4F4409C,车辆厂小区(东门),北荣街20,114.48468,38.05308,311,住宅区,1,0,小区,360,1383,2981
2086,B2094656D365ABFE449D,雅澜庭院(西门),九中街39号,114.48379,38.05867,311,住宅区,2,1,小区,249,1259,2686
2087,B2094656D365ABFE449C,新绿苑小区(北门),槐中路66,114.49943,38.02807,311,住宅区,2,0,小区,226,1325,3111
2088,B2094656D365ABFE4293,单身公寓(北门),,114.56082,38.0542,311,住宅区,3,1,小区,158,647,1198
2089,B2094656D365ABF8439B,翟营大街小区,北宋路262,114.55554,38.04587,311,住宅区,7,1,小区,397,932,1909
2090,B2094656D365ABF84293,裕东小区(侧门),,114.55805,38.03403,311,住宅区,1,0,小区,289,1212,2053
2091,B2094656D365ABFF409B,锦府苑(西门),,114.50719,38.02584,311,住宅区,1,0,小区,303,1346,2992
