OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst,foodT,cluster
1178,B2094757D76AA7FC469C,富华肥牛,近郊藁城市昌盛南街,114.859260000000006,38.021560000000001,311,火锅店,0,0,餐饮,中式餐饮,1
1179,B2094656D365A4FE429C,名门饭店,,114.859530000000007,38.020650000000003,311,中餐厅,0,0,餐饮,中式餐饮,1
1180,B2094656D364A2FE489E,龙飞饺子馆,,114.849270000000004,38.031610000000001,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1181,B2094656D364A2FE4993,大红门,,114.851500000000001,38.031689999999998,311,综合酒楼,0,0,餐饮,中式餐饮,1
1182,B2094656D364A2FF4093,民族烧烤涮,,114.852660000000000,38.030980000000000,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1183,B2094656D364A2FF4198,甘家烧烤涮,,114.852680000000007,38.030729999999998,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1184,B2094656D364A2FF4299,喜盈门,,114.850800000000007,38.030630000000002,311,中餐厅,0,0,餐饮,中式餐饮,1
1185,B2094656D364A2FF449A,野味火锅鸡,,114.846019999999996,38.030270000000002,311,餐饮美食,0,0,餐饮,其它,1
1186,B2094656D364A2FF459A,阳光面包房,,114.840329999999994,38.029859999999999,311,糕饼店,0,0,餐饮,甜点饮品,1
1187,B2094656D364A2FF459E,兰州正宗牛肉拉面(东城北街),,114.853080000000006,38.031320000000001,311,中餐厅,0,0,餐饮,中式餐饮,1
1188,B2094656D364A2FF459C,郁馨快餐,,114.853250000000003,38.031739999999999,311,中餐厅,0,0,餐饮,中式餐饮,1
1189,B2094656D364A2FF4593,香水快餐,,114.854159999999993,38.031790000000001,311,中餐厅,0,0,餐饮,中式餐饮,1
1190,B2094656D364A2F94292,鼎好快餐,,114.847870000000000,38.036209999999997,311,中餐厅,0,0,餐饮,中式餐饮,1
1191,B2094656D364A2F94293,花样年华生日专卖店(四明北街),,114.847859999999997,38.036349999999999,311,糕饼店,0,0,餐饮,甜点饮品,1
1192,B2094656D364A2F94399,东北饺子馆,,114.847830000000002,38.037019999999998,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1193,B2094656D364A2F9439F,酱骨王,,114.847809999999996,38.037500000000001,311,中餐厅,1,0,餐饮,中式餐饮,1
1194,B2094656D364A2F8429F,弘祥蜂蜜大麻花,,114.854079999999996,38.032150000000001,311,餐饮美食,0,0,餐饮,其它,1
1195,B2094656D364A2F8429D,东北饺子馆总部,,114.853660000000005,38.032130000000002,311,特色／地方风味餐厅,0,0,餐饮,中式餐饮,1
1196,B2094656D364A2F84292,熏肉店,,114.853409999999997,38.032119999999999,311,餐饮美食,0,0,餐饮,其它,1
1197,B2094656D364A2F84293,鑫旺快餐,,114.853380000000001,38.032119999999999,311,中餐厅,0,0,餐饮,中式餐饮,1
