OBJECTID,poiid,title,address,lon,lat,city,category_sec,checkin_num,photo_num,category_fst
1326,B2094656D365ABFE469F,路劲蓝郡,长安区和平路和广安大街交叉口北侧,114.575969999999998,38.016500000000001,311,住宅区,386,162,小区
1327,B2094656D365A0F44792,新浩城,建设北大街261号,114.513090000000005,38.065159999999999,311,住宅区,536,205,小区
1328,B2094656D365ABF84193,水木青城(十里大街),,114.575239999999994,38.070959999999999,311,住宅区,164,45,小区
1329,B2094656D06CA1FD439A,石门小区,翟营大街326号,114.552869999999999,38.029049999999998,311,住宅区,374,122,小区
1330,B2094656D36BA6FB479B,美景东方,石家庄胜利北大街和光华路交汇处,114.575770000000006,38.026020000000003,311,住宅区,404,179,小区
1331,B2094757D064A6F54893,国际城一期,石家庄槐北路416号,114.563029000000000,38.032518000000003,311,住宅区,188,88,小区
1332,B2094656D365A4F9429E,金马国际,石家庄胜利北大街和光华路交汇处,114.555030000000002,38.022280000000002,311,住宅区,76,22,小区
1333,B2094656D365A0FF419C,依水苑,和平东路273号,114.542090000000002,38.058709999999998,311,住宅区,233,116,小区
1334,B2094656D365A2F94999,清木苑,跃进路与谈固北大街交叉口,114.562690000000003,38.051566999999999,311,住宅区,343,110,小区
1335,B2094656D364ABF9439B,白佛小区(中山东路),中山东路789号,114.583380000000005,38.044809999999998,311,住宅区,127,47,小区
1336,B2094656D365A2FA409B,和坊小区(建华北大街),,114.543160000000000,38.043640000000003,311,住宅区,52,9,小区
1337,B2094656D365A4F5499A,东方花园(石安高速入口),,114.584580000000003,38.036560000000001,311,住宅区,109,73,小区
1338,B2094757D168ABFC4099,华药一区,石家庄长安区谈南路与谈北路之间,114.530467999999999,38.051124999999999,311,住宅区,202,52,小区
1339,B2094656D36BA6F5419E,鑫科·摩卡小镇,石家庄鑫科·摩卡小镇,114.569990000000004,38.025559999999999,311,住宅区,163,70,小区
1340,B2094656D36AA5FE459B,润丰盛世家园,,114.595190000000002,38.040740000000000,311,住宅区,70,20,小区
1341,B2094656D36BAAF8449A,煤矿机一生活区,建华北大街15,114.546589999999995,38.048439999999999,311,住宅区,242,93,小区
1342,B2094656D36BA7FB489F,卓达卓东小区,,114.565119999999993,38.004339999999999,311,住宅区,152,34,小区
1343,B2094656D365A2F9469F,惠民·金桥水岸住宅小区,河北省石家庄市长安区华清北街,114.542479999999998,38.061470000000000,311,住宅区,124,57,小区
1344,B2094656D36BA2F44093,宏丰苑小区,丰收路62,114.523129999999995,38.070560000000000,311,住宅区,188,69,小区
1345,B2094656D36BA1F8449A,欧华园,光华路151,114.518659999999997,38.059220000000003,311,住宅区,137,75,小区
1346,B2094656D364A3FA489F,桐兴园,长安区石家庄市丰收路146号,114.538409999999999,38.069139999999997,311,住宅区,174,67,小区
1347,B2094656D364A3F4419F,金华小区,华清街15,114.538780000000003,38.061419999999998,311,住宅区,90,49,小区
1348,B2094757D56FA1FB449F,芝兰明仕,中国河北省石家庄市区,114.572544219999997,38.024950089999997,311,住宅区,119,51,小区
1349,B2094656D365ABFE479B,依水苑(北门),,114.542169999999999,38.059010000000001,311,住宅区,27,8,小区
